indice_medicamento,nregistro,nombre_medicamento,tipo_imagen,url,fichero,estado,error
23,66460,ACETILCISTEINA CINFA 100 mg POLVO PARA SOLUCION ORAL EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/66460/66460_materialas.jpg,imagenes/acetilcisteina_cinfa_100_mg_polvo_para_solucion_oral_efg__66460__materialas__0045.jpg,descargada,
23,66460,ACETILCISTEINA CINFA 100 mg POLVO PARA SOLUCION ORAL EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/66460/66460_formafarmac.jpg,imagenes/acetilcisteina_cinfa_100_mg_polvo_para_solucion_oral_efg__66460__formafarmac__0046.jpg,descargada,
24,66459,ACETILCISTEINA CINFA 200 mg POLVO PARA SOLUCION ORAL EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/66459/66459_materialas.jpg,imagenes/acetilcisteina_cinfa_200_mg_polvo_para_solucion_oral_efg__66459__materialas__0047.jpg,descargada,
24,66459,ACETILCISTEINA CINFA 200 mg POLVO PARA SOLUCION ORAL EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/66459/66459_formafarmac.jpg,imagenes/acetilcisteina_cinfa_200_mg_polvo_para_solucion_oral_efg__66459__formafarmac__0048.jpg,descargada,
25,67763,ACETILCISTEINA CINFA 600 mg COMPRIMIDOS EFERVESCENTES EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/67763/67763_materialas.jpg,imagenes/acetilcisteina_cinfa_600_mg_comprimidos_efervescentes_efg__67763__materialas__0049.jpg,descargada,
25,67763,ACETILCISTEINA CINFA 600 mg COMPRIMIDOS EFERVESCENTES EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/67763/67763_formafarmac.jpg,imagenes/acetilcisteina_cinfa_600_mg_comprimidos_efervescentes_efg__67763__formafarmac__0050.jpg,descargada,
26,66458,ACETILCISTEINA CINFA 600 mg POLVO PARA SOLUCION ORAL EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/66458/66458_materialas.jpg,imagenes/acetilcisteina_cinfa_600_mg_polvo_para_solucion_oral_efg__66458__materialas__0051.jpg,descargada,
26,66458,ACETILCISTEINA CINFA 600 mg POLVO PARA SOLUCION ORAL EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/66458/66458_formafarmac.jpg,imagenes/acetilcisteina_cinfa_600_mg_polvo_para_solucion_oral_efg__66458__formafarmac__0052.jpg,descargada,
27,85923,ACETILCISTEINA NORMON 600 MG COMPRIMIDOS DISPERSABLES EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/85923/85923_materialas.jpg,imagenes/acetilcisteina_normon_600_mg_comprimidos_dispersables_efg__85923__materialas__0053.jpg,descargada,
27,85923,ACETILCISTEINA NORMON 600 MG COMPRIMIDOS DISPERSABLES EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/85923/85923_formafarmac.jpg,imagenes/acetilcisteina_normon_600_mg_comprimidos_dispersables_efg__85923__formafarmac__0054.jpg,descargada,
28,67988,ACETILCISTEINA SANDOZ CARE 600 mg COMPRIMIDOS EFERVESCENTES,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/67988/67988_materialas.jpg,imagenes/acetilcisteina_sandoz_care_600_mg_comprimidos_efervescentes__67988__materialas__0055.jpg,descargada,
28,67988,ACETILCISTEINA SANDOZ CARE 600 mg COMPRIMIDOS EFERVESCENTES,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/67988/67988_formafarmac.jpg,imagenes/acetilcisteina_sandoz_care_600_mg_comprimidos_efervescentes__67988__formafarmac__0056.jpg,descargada,
29,67874,ACETILCISTEINA STADA 600 mg COMPRIMIDOS EFERVESCENTES EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/67874/67874_materialas.jpg,imagenes/acetilcisteina_stada_600_mg_comprimidos_efervescentes_efg__67874__materialas__0057.jpg,descargada,
29,67874,ACETILCISTEINA STADA 600 mg COMPRIMIDOS EFERVESCENTES EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/67874/67874_formafarmac.jpg,imagenes/acetilcisteina_stada_600_mg_comprimidos_efervescentes_efg__67874__formafarmac__0058.jpg,descargada,
30,64920,ACETILCISTEINA TARBIS 200 mg GRANULADO PARA SOLUCION ORAL EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/64920/64920_materialas.jpg,imagenes/acetilcisteina_tarbis_200_mg_granulado_para_solucion_oral_ef__64920__materialas__0059.jpg,descargada,
30,64920,ACETILCISTEINA TARBIS 200 mg GRANULADO PARA SOLUCION ORAL EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/64920/64920_formafarmac.jpg,imagenes/acetilcisteina_tarbis_200_mg_granulado_para_solucion_oral_ef__64920__formafarmac__0060.jpg,descargada,
31,64921,ACETILCISTEINA TARBIS 600 mg POLVO EFERVESCENTE EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/64921/64921_materialas.jpg,imagenes/acetilcisteina_tarbis_600_mg_polvo_efervescente_efg__64921__materialas__0061.jpg,descargada,
31,64921,ACETILCISTEINA TARBIS 600 mg POLVO EFERVESCENTE EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/64921/64921_formafarmac.jpg,imagenes/acetilcisteina_tarbis_600_mg_polvo_efervescente_efg__64921__formafarmac__0062.jpg,descargada,
32,65048,ACETILCISTEINA VIATRIS 200 mg GRANULADO PARA SOLUCION ORAL EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/65048/65048_materialas.jpg,imagenes/acetilcisteina_viatris_200_mg_granulado_para_solucion_oral_e__65048__materialas__0063.jpg,descargada,
32,65048,ACETILCISTEINA VIATRIS 200 mg GRANULADO PARA SOLUCION ORAL EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/65048/65048_formafarmac.jpg,imagenes/acetilcisteina_viatris_200_mg_granulado_para_solucion_oral_e__65048__formafarmac__0064.jpg,descargada,
33,65049,ACETILCISTEINA VIATRIS 600 MG GRANULADO EFERVESCENTEL EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/65049/65049_materialas.jpg,imagenes/acetilcisteina_viatris_600_mg_granulado_efervescentel_efg__65049__materialas__0065.jpg,descargada,
33,65049,ACETILCISTEINA VIATRIS 600 MG GRANULADO EFERVESCENTEL EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/65049/65049_formafarmac.jpg,imagenes/acetilcisteina_viatris_600_mg_granulado_efervescentel_efg__65049__formafarmac__0066.jpg,descargada,
34,58154,ACETILCOLINA 10 MG/ML CUSÍ POLVO Y DISOLVENTE PARA SOLUCIÓN PARA INSTILACIÓN POR VÍA INTRAOCULAR,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/58154/58154_materialas.jpg,imagenes/acetilcolina_10_mg_ml_cusi_polvo_y_disolvente_para_solucion__58154__materialas__0067.jpg,descargada,
